birim_kodu,birim_adi,ust_birim_kodu,hiyerarsi_seviyesi,gorev_alani,sdp_kodlari,vatandas_yogunlugu,imza_unvani,tipik_muhataplar,kaynak,detsis_no
yenimahalle_belediyesi,Yenimahalle Belediye Başkanlığı,,0,"Ankara Büyükşehir Belediyesi sınırları içinde yer alan bir ilçe belediyesidir. 5393 sayılı Belediye Kanunu m.14 kapsamında imar, kentsel altyapı, çevre ve çevre sağlığı, temizlik ve katı atık, zabıta, park ve yeşil alanlar, sosyal hizmet ve yardım ile nikâh hizmetlerini yürütür. Karar organları belediye meclisi, belediye encümeni ve belediye başkanıdır.",010.06;051;602.04,dusuk,Belediye Başkanı,vatandas;valilik;kaymakamlik;buyuksehir_belediyesi;bakanlik;kurum_ici,5393 s. Belediye Kanunu m.14-15; DETSİS kaydı (06.08.2026),65859045
baskan_yrd_1,Belediye Başkan Yardımcılığı 1,yenimahalle_belediyesi,1,"Başkanlık makamı adına bağlı müdürlüklerin koordinasyonunu sağlar, havale ve olur süreçlerini yürütür. Kendisine bağlı birimlerin yazışmalarını başkanlık adına imzalar.",010.06;051;622.01,dusuk,Belediye Başkan Yardımcısı,kurum_ici;vatandas,DETSİS kaydı (06.08.2026) kurum hiyerarşisi,73293321
baskan_yrd_2,Belediye Başkan Yardımcılığı 2,yenimahalle_belediyesi,1,"Başkanlık makamı adına bağlı müdürlüklerin koordinasyonunu sağlar, havale ve olur süreçlerini yürütür. Kendisine bağlı birimlerin yazışmalarını başkanlık adına imzalar.",010.06;051;622.01,dusuk,Belediye Başkan Yardımcısı,kurum_ici;vatandas,DETSİS kaydı (06.08.2026) kurum hiyerarşisi,15585774
baskan_yrd_3,Belediye Başkan Yardımcılığı 3,yenimahalle_belediyesi,1,"Başkanlık makamı adına bağlı müdürlüklerin koordinasyonunu sağlar, havale ve olur süreçlerini yürütür. Kendisine bağlı birimlerin yazışmalarını başkanlık adına imzalar.",010.06;051;622.01,dusuk,Belediye Başkan Yardımcısı,kurum_ici;vatandas,DETSİS kaydı (06.08.2026) kurum hiyerarşisi,90859947
baskan_yrd_4,Belediye Başkan Yardımcılığı 4,yenimahalle_belediyesi,1,"Başkanlık makamı adına bağlı müdürlüklerin koordinasyonunu sağlar, havale ve olur süreçlerini yürütür. Kendisine bağlı birimlerin yazışmalarını başkanlık adına imzalar.",010.06;051;622.01,dusuk,Belediye Başkan Yardımcısı,kurum_ici;vatandas,DETSİS kaydı (06.08.2026) kurum hiyerarşisi,13025030
baskan_yrd_5,Belediye Başkan Yardımcılığı 5,yenimahalle_belediyesi,1,"Başkanlık makamı adına bağlı müdürlüklerin koordinasyonunu sağlar, havale ve olur süreçlerini yürütür. Kendisine bağlı birimlerin yazışmalarını başkanlık adına imzalar.",010.06;051;622.01,dusuk,Belediye Başkan Yardımcısı,kurum_ici;vatandas,DETSİS kaydı (06.08.2026) kurum hiyerarşisi,66929355
yazi_isleri,Yazı İşleri Müdürlüğü,baskan_yrd_4,2,"Belediye meclisi ve encümeninin gündem, karar ve tutanak işlemlerini yürütür. Kurum genel evrak giriş-çıkış kayıtlarını tutar, birim arşivi ve belge talebi işlemlerini yapar. Meclis kararlarının Ankara Büyükşehir Belediyesine ve ilgili birimlere gönderilmesini sağlar.",105.04;110.04;010.06;622.02;805.02.05;125,orta,Müdür,vatandas;buyuksehir_belediyesi;kaymakamlik;kurum_ici,"5393 s. Kanun m.18-21, 33; Evlendirme Yönetmeliği m.5; DETSİS kaydı (06.08.2026)",15986609
mali_hizmetler,Mali Hizmetler Müdürlüğü,baskan_yrd_3,2,"Belediye bütçesinin hazırlanması, uygulanması ve kesin hesap işlemlerini yürütür. Muhasebe, ön mali kontrol ve raporlama görevlerini yerine getirir. Stratejik plan, performans programı ve faaliyet raporu çalışmalarını koordine eder.",934.01;602.04;602.07;855;841.01,dusuk,Müdür,bakanlik;buyuksehir_belediyesi;ozel_tuzel_kisi;kurum_ici,5018 s. Kanun m.60; Mahalli İdareler Bütçe ve Muhasebe Yönetmeliği; DETSİS kaydı (06.08.2026),43195403
gelirler,Gelirler Müdürlüğü,baskan_yrd_3,2,"Emlak vergisi, çevre temizlik vergisi ile belediye harç ve ücretlerinin tarh, tahakkuk ve tahsil işlemlerini yürütür. Mükellef beyanlarını alır, borç sorgulama, muafiyet ve yapılandırma taleplerini karşılar.",190.01.07;855;858;622.01,yuksek,Müdür,vatandas;ozel_tuzel_kisi;kurum_ici,2464 s. Belediye Gelirleri Kanunu; 1319 s. Emlak Vergisi Kanunu; DETSİS kaydı (06.08.2026),30032784
imar_sehircilik,İmar ve Şehircilik Müdürlüğü,baskan_yrd_5,2,"1/1000 ölçekli uygulama imar planı ve plan değişikliği işlemlerini yürütür, askı ve itiraz süreçlerini yönetir. İmar durum belgesi düzenler, yapı ruhsatı ve yapı kullanma izin belgesi verir. İfraz, tevhid, yola terk gibi imar uygulamalarını ve numarataj işlemlerini yapar.",115.02.01;115.02.04;115.02.08;115.02.10;115.01.06;115.01.08,yuksek,Müdür,vatandas;ozel_tuzel_kisi;buyuksehir_belediyesi;bakanlik,"3194 s. İmar Kanunu m.8, 21, 30; DETSİS kaydı (06.08.2026)",18426575
