kurum,kod,ad,ana_grup,kapsam,carpisan_konu_sayisi,toplam_konu,carpisma_orani,guvenlik,carpisan_konular
belediye,903.02,Atama İşleri,903,ortak,1,438,0.23,yuksek,807.01::Boya Badana İşleri Hk.
belediye,180,İtfaiye İşleri,180,kuruma_ozel,2,438,0.46,yuksek,805::Belge Yönetimi Eğitimi Hk.|807.01::Boya Badana İşleri Hk.
belediye,010.06,Genelgeler,010,ortak,3,438,0.68,yuksek,602.04::Stratejik Plan Taslağı Hakkında Görüş|756.01::Tahsisin Kaldırılması Talebi|858::Cezanın Kaldırılması Talebi
belediye,807.01,Bina ve Tesisler,807,ortak,3,438,0.68,yuksek,010::Mevzuat Bilgi Sistemi Güncellemesi|805::Elektronik Belge Yönetim Sistemi Hk.|115.02.10::Adres Kayıt Sistemi Güncellemesi
belediye,841.01,Bütçe Çalışmaları,841,ortak,4,438,0.91,yuksek,602.07::Ödenek Aktarma Talebi|934::Ödenek Durumu Sorgusu|190::Gelir Tahakkuk İşlemleri|190::Gelir Kaybı Bildirimi
belediye,622,Talep ve Şikayetler,622,ortak,5,438,1.14,yuksek,805::Saklama Süresi Hakkında Görüş|815::Yardım Başvurusunun Değerlendirilmesi|115.02.11::Aykırılığın Giderilmesi Süresi|175::Damga Süresi Dolan Aletler|190.01::Beyan Süresi Duyurusu
belediye,155,Çevre Koruma ve Kontrol İşleri,155,kuruma_ozel,5,438,1.14,yuksek,807.01::Boya Badana İşleri Hk.|115.02::Yapı Denetim İşlemleri|115.02::Yapı Denetim Hakediş Onayı|115.02.08::İskan Öncesi Kontrol Randevusu|170::Ruhsat Denetimi
belediye,752,Kamulaştırma ve İrtifak Hakkı İşleri,752,ortak,6,438,1.37,orta,755.02::İhale Komisyonu Kararı|805.02::Ayıklama ve İmha Komisyonu Kurulması|807.01::Boya Badana İşleri Hk.|115.01.08::İrtifak Hakkı Tesisi Talebi|115.02::Seviye Tespit Tutanağı|190.01.07::Rayiç Bedel Tespiti Hk.
belediye,045,Görüşler,045,ortak,7,438,1.6,orta,010::Uygulama Birliğinin Sağlanması|602.04::Altı Aylık Değerlendirme Raporu|773::Staj Değerlendirme Formunun Gönderilmesi|755.01::Uygulama Projesi Revizyonu|841::Bütçe Uygulama Talimatı|115.01.06::Uygulama İmar Planı Değişikliği Talebi|115.01.06::Uygulama İmar Planı Onayı Hk.
belediye,045.02,Hukuki,045,ortak,7,438,1.6,orta,010::Mevzuat Değişikliği Bildirimi|010::Mevzuat Hükmünün Yorumlanması|010::Mevzuat Bilgi Sistemi Güncellemesi|602.04::Altı Aylık Değerlendirme Raporu|755::Sözleşme Feshi Hk.|773::Staj Değerlendirme Formunun Gönderilmesi|180.03::Yangın Merdiveni Uygunluğu
belediye,602,Plan ve Program İşleri,602,ortak,7,438,1.6,orta,051::Koordinasyon Toplantısı Daveti|805.02::Yıllık Arşiv Faaliyet Bildirimi|807::Yıllık Bakım Onarım Programı|807.01::Boya Badana İşleri Hk.|110::Encümen Toplantısı Hk.|120::Kurs ve Etkinlik Programı|170.01::İşyeri Açma ve Çalışma Ruhsatı Başvurusu
belediye,755.01,Etüd-Proje ve Fizibilite,755,ortak,7,438,1.6,orta,010::Uygulama Birliğinin Sağlanması|045::Uygulama Tereddüdü Hk.|602.07::Proje Gerçekleşme Oranı Bildirimi|602.07::Yeni Proje Teklifi|841::Bütçe Uygulama Talimatı|115.01.06::Uygulama İmar Planı Değişikliği Talebi|115.01.06::Uygulama İmar Planı Onayı Hk.
belediye,120.02,Engellilere Yönelik Hizmetler,120,kuruma_ozel,7,438,1.6,orta,801::Hizmet Aracı Tahsis Talebi|802::Servis Hizmeti Aksaklığı Bildirimi|802::Servis Aracı Görevlendirmesi|807::Bakım Onarım Talebi|807::Yıllık Bakım Onarım Programı|807::Bakım Sözleşmesi Yenilenmesi|125::Nikâh Salonu Tahsisi
belediye,190,"Gelir (Tarh, Tahakkuk ve Tahsilat) İşleri",190,kuruma_ozel,7,438,1.6,orta,805::Standart Dosya Planı Uygulaması|807.01::Boya Badana İşleri Hk.|841.01::Gelir Gider Tahmin Cetveli|855::Tahsilat Makbuzu Talebi|115::İmar Mevzuatı Uygulaması|115::İmar Uygulaması Askı İlanı|115.01::İmar Uygulaması Sonucu
belediye,050.04,Kararlar,050,ortak,8,438,1.83,orta,756::Kayıt Düzeltme Talebi|807::Onarım Keşif Özeti|855::Ödeme Emri Tebliği|858::Tutanağın Tebliği Hk.|105.04::Kararın Büyükşehir Belediyesine Gönderilmesi|105.04::Kararın Kesinleşmesi Hk.|110.04::Encümen Kararının Tebliği|190.01.07::Vergi Değeri Düzeltme Talebi
belediye,773,Staj İşleri,773,ortak,8,438,1.83,orta,045::Konu Hakkında Değerlendirme Talebi|045.02::İhtilaflı Hususta Değerlendirme Talebi|602.04::Altı Aylık Değerlendirme Raporu|755::Geçici Kabul İşlemleri|801::Taşıt Kayıt ve Sigorta İşlemleri|807.01::Boya Badana İşleri Hk.|934.01::Muayene ve Kabul İşlemleri|155.01::Konteyner Yerinin Değiştirilmesi
belediye,815,Sosyal Yardım İşleri,815,ortak,8,438,1.83,orta,622::Şikâyet Başvurusunun Değerlendirilmesi|622.01::CİMER Başvurusunun Değerlendirilmesi|805.02.05::Arşivde İnceleme Randevusu|807.01::Boya Badana İşleri Hk.|115::Teknik İnceleme Talebi|120::Sosyal Destek Çalışmaları Hk.|120::Sosyal Tesis Kullanımı|180.03::Yerinde İnceleme Randevusu
belediye,841,Bütçe Hazırlama ve Uygulama İşleri,841,ortak,8,438,1.83,orta,010::Uygulama Birliğinin Sağlanması|045::Uygulama Tereddüdü Hk.|602.07::Ödenek Aktarma Talebi|755.01::Uygulama Projesi Revizyonu|807.01::Boya Badana İşleri Hk.|934::Ödenek Durumu Sorgusu|115.01.06::Uygulama İmar Planı Değişikliği Talebi|115.01.06::Uygulama İmar Planı Onayı Hk.
