kod,ana_grup,seviye,ust_kod,ad,saklama_suresi,kapsam,kurum_tipi,vatandas_konusu,ornek_konular,sikayet_cumleleri
010,010,1,,Mevzuat İşleri,,ortak,hepsi,hayir,Yönetmelik Taslağı Hakkında Görüş|Mevzuat Değişikliği Bildirimi|Yönerge Taslağının Gönderilmesi|Uygulama Birliğinin Sağlanması|Mevzuat Hükmünün Yorumlanması|Yürürlükten Kaldırılan Hüküm Hk.|Mevzuat Bilgi Sistemi Güncellemesi,
010.06,010,2,010,Genelgeler,15,ortak,hepsi,hayir,Genelgenin Duyurulması|Genelge Uygulamasında Karşılaşılan Tereddütler|Genelge Taslağı Hakkında Görüş|Genelgenin Yürürlükten Kaldırılması|Genelge Kapsamındaki İşlemlerin Raporlanması|Genelgenin İlgili Birimlere Dağıtımı|Genelge Görüşü Talebi,
045,045,1,,Görüşler,,ortak,hepsi,hayir,Görüş Talebi|Kurum Görüşünün Bildirilmesi|Görüş Yazısına Cevap|Uygulama Tereddüdü Hk.|Konu Hakkında Değerlendirme Talebi|Görüşün Yeniden Değerlendirilmesi,
045.02,045,2,045,Hukuki,30,ortak,hepsi,hayir,Hukuki Görüş Talebi|Hukuki Mütalaanın Gönderilmesi|Sözleşme Metni Hakkında Görüş|Uygulamanın Hukuka Uygunluğu Hk.|Mahkeme Kararının Uygulanması Hakkında Görüş|İhtilaflı Hususta Değerlendirme Talebi|Mevzuat Çelişkisi Hakkında Mütalaa,
050,050,1,,Kurul İşleri,,ortak,hepsi,hayir,Kurul Toplantı Gündemi|Kurul Üyeliği Bildirimi|Kurul Toplantı Daveti|Toplantı Tutanağının Gönderilmesi|Kurul Üyesi Değişikliği|Olağanüstü Toplantı Çağrısı,
050.04,050,2,050,Kararlar,15,ortak,hepsi,hayir,Kurul Kararının Gönderilmesi|Karar Örneği Talebi|Kararın Uygulanması Hk.|Karar Düzeltme Talebi|Kararın İlgililere Tebliği|Alınan Kararların Özeti,
051,051,1,,Toplantı ve Etkinlik İşleri,15,ortak,hepsi,hayir,Çalıştay Katılım Talebi|Sempozyum Duyurusu|Toplantı Tarihi Değişikliği|Etkinlik Salonu Tahsis Talebi|Panel Konuşmacı Daveti|Koordinasyon Toplantısı Daveti|Etkinlik Programının Gönderilmesi,
602,602,1,,Plan ve Program İşleri,,ortak,hepsi,hayir,Yıllık Çalışma Programı|Program Verilerinin Gönderilmesi|Plan Hazırlık Toplantısı|Program Revizyon Talebi|Hedef Gerçekleşme Oranları|Planlama Çalışmalarına Katkı Talebi,
602.04,602,2,602,Stratejik Plan,15,ortak,hepsi,hayir,Stratejik Plan İzleme Raporu|Stratejik Plan Hazırlık Çalışmaları|Performans Göstergesi Verisi Talebi|Stratejik Plan Taslağı Hakkında Görüş|Plan Hedeflerinin Güncellenmesi|Altı Aylık Değerlendirme Raporu|Stratejik Plan Çalıştayı Daveti,
622,622,1,,Talep ve Şikayetler,,ortak,hepsi,hayir,Başvurunun İlgili Birime Yönlendirilmesi|Şikâyet Başvurusunun Değerlendirilmesi|Başvuru Sonucunun Bildirilmesi|Süresi İçinde Cevaplanmayan Başvuru Hk.|Başvuru İstatistiklerinin Gönderilmesi|Mükerrer Başvuru Hk.,
